uuid,HR
1ae30e0b-098e-46fc-a897-0a6661f26370,75.17962016080911
428b41b3-9461-4c79-ab4e-d03b122b2553,80.60160448766763
88f82ac7-02dd-447e-a289-22e8e22432c2,62.158201049034496
1d09b18f-d82f-4c1a-bb2d-71fda6fea837,66.46910897287415
a6302640-f70a-4a3a-ad36-a8c3d5df9400,64.34155106360076
3f6508be-4b0a-4008-b701-49d8c2d5dd43,56.3378260211851
a07d84c8-fc44-45ef-bb85-f06f06b70e9f,75.52409872030228
f4a449db-a7ff-437b-852b-821a6e965f2f,62.5297146081815
94364ef1-12e2-4ddd-9f35-99e270547849,56.12187263471457
231d34f5-1028-4f2e-8e1d-00d086b0c218,71.15599032888827
